Ref,Val,Package,PosX,PosY,Rot,Side
"A_L1","IR2113","SOIC-16W_7.5x10.3mm_P1.27mm",92.202000,-80.186000,-90.000000,top
"A_L2","IR2113","SOIC-16W_7.5x10.3mm_P1.27mm",117.471000,-80.186000,-90.000000,top
"B_L1","IR2113","SOIC-16W_7.5x10.3mm_P1.27mm",102.997000,-80.186000,90.000000,top
"B_L2","IR2113","SOIC-16W_7.5x10.3mm_P1.27mm",128.270000,-80.186000,90.000000,top
"C5","1uF 50V","C_1206_3216Metric",98.884000,-71.905500,0.000000,top
"C6","0.1uF 50V","C_1206_3216Metric",94.058000,-71.905500,0.000000,top
"C7","0.1uF 10V","C_1206_3216Metric",87.969000,-89.310000,90.000000,top
"C8","0.1uF 10V","C_1206_3216Metric",102.489000,-70.931000,-90.000000,top
"C9","0.1uF 50V","C_1206_3216Metric",119.077000,-71.882000,0.000000,top
"C10","1uF 50V","C_1206_3216Metric",123.903000,-71.882000,0.000000,top
"C11","0.1uF 10V","C_1206_3216Metric",113.792000,-89.613000,90.000000,top
"C12","0.1uF 50V","C_1206_3216Metric",101.226000,-88.343000,180.000000,top
"C13","1uF 50V","C_1206_3216Metric",96.302000,-88.187000,180.000000,top
"C14","1uF 50V","C_1206_3216Metric",121.871000,-88.490000,180.000000,top
"C15","0.1uF 50V","C_1206_3216Metric",126.697000,-88.490000,180.000000,top
"C16","0.1uF 10V","C_1206_3216Metric",132.334000,-70.702500,-90.000000,top
"C17","220uF 35V","CP_Elec_8x10",132.588000,-99.352000,-90.000000,top
"C18","220uF 35V","CP_Elec_8x10",132.588000,-110.020000,90.000000,top
"D2","1N5822","D_SMC",141.986000,-111.290000,0.000000,top
"D3","1N4148","D_SOD-123",107.061000,-70.836000,90.000000,top
"D4","1N4148","D_SOD-123",90.424000,-70.740000,90.000000,top
"D5","1N4148","D_SOD-123",115.570000,-70.558500,90.000000,top
"D6","1N4148","D_SOD-123",129.773000,-70.607500,90.000000,top
"D7","1N4148","D_SOD-123",104.733000,-89.561000,-90.000000,top
"D8","1N4148","D_SOD-123",90.509000,-89.788000,-90.000000,top
"D9","1N4148","D_SOD-123",130.302000,-89.632000,-90.000000,top
"D10","1N4148","D_SOD-123",118.364000,-89.632000,-90.000000,top
"L2","100uH","L_TDK_SLF12575",144.568000,-100.622000,90.000000,top
"Q1","IRF3205","TO-263-3_TabPin2",95.504000,-54.840000,90.000000,top
"Q2","IRF3205","TO-263-3_TabPin2",110.151333,-54.840000,90.000000,top
"Q3","IRF3205","TO-263-3_TabPin2",124.733000,-54.979000,90.000000,top
"Q4","IRF3205","TO-263-3_TabPin2",138.176000,-54.864000,90.000000,top
"Q5","IRF3205","TO-263-3_TabPin2",109.474000,-106.710000,-90.000000,top
"Q6","IRF3205","TO-263-3_TabPin2",96.793000,-106.565000,-90.000000,top
"Q7","IRF3205","TO-263-3_TabPin2",145.681000,-71.882000,0.000000,top
"Q8","IRF3205","TO-263-3_TabPin2",122.428000,-106.710000,-90.000000,top
"R2","10","R_1206_3216Metric",104.775000,-70.951000,90.000000,top
"R3","10","R_1206_3216Metric",87.922000,-70.665500,90.000000,top
"R4","10","R_1206_3216Metric",113.284000,-70.673500,90.000000,top
"R5","10","R_1206_3216Metric",127.487000,-70.722500,90.000000,top
"R6","10","R_1206_3216Metric",107.019000,-89.551500,-90.000000,top
"R7","10","R_1206_3216Metric",92.795000,-89.395500,-90.000000,top
"R8","10","R_1206_3216Metric",132.588000,-89.444500,-90.000000,top
"R9","10","R_1206_3216Metric",116.078000,-89.600500,-90.000000,top
"U2","LM2596S-5","TO-263-5_TabPin3",145.681000,-84.055000,0.000000,top
"UF1","UF4007","D_SMA",96.266000,-68.857500,0.000000,top
"UF2","UF4007","D_SMA",121.666000,-68.834000,0.000000,top
"UF3","UF4007","D_SMA",98.767000,-91.235000,180.000000,top
"UF4","UF4007","D_SMA",123.920000,-91.538000,180.000000,top
